"Number","Group","ExpectedIntent","Question","Top1Score","CurrentDecision","Top1KnowledgeItemId","Top1MatchedText","Top2Score","Top2MatchedText","Top3Score","Top3MatchedText"
"29","Clear","DeleteAccount","می‌خوام اکانتم رو به‌طور کامل پاک کنم، از کجا باید اقدام کنم؟","0.917501","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","با اکانتم به مشکل خوردم و نمیدونم باید چه کاری انجام بدم","0.91317105","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم","0.90554875","می‌خواهم اکانتم را حذف کنم"
"30","Clear","DeleteAccount","راه بستن و حذف دائمی حساب کاربری چیه؟","0.9030033","InDomain","d59c6ca1-2509-405b-844f-bd0dec63416c","چطور حساب کاربری‌ام را حذف کنم؟","0.89067584","حساب کاربری من قفل شده است، چه کار کنم؟","0.88171","چطور ایمیل حساب کاربری را تغییر بدهم؟"
"41","NoMatch","","امروز هوا چطوره؟","0.8162925","NoMatch","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور ثبت نام کنم؟","0.8047968","یه مسئله‌ای درباره حساب کاربری دارم","0.80336815","اکانتم قفل شده"
"42","NoMatch","","سفارشم چه زمانی ارسال می‌شود؟","0.83543164","NoMatch","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور ثبت نام کنم؟","0.82651913","چطور با پشتیبانی تماس بگیرم؟","0.8158026","پسوردم یادم رفته"
"43","NoMatch","","چطور فاکتور خریدم را دانلود کنم؟","0.87407696","InDomain","5eeaa1f0-f478-4524-9626-06ca996af901","چطور با پشتیبانی تماس بگیرم؟","0.8553297","چطور ثبت نام کنم؟","0.85172814","میخوام یکی از اطلاعات حسابم رو عوض کنم"
"44","NoMatch","","قیمت اشتراک سایت چقدره؟","0.8527494","InDomain","45d1ec4a-7ae1-407c-9237-f0bf5985417f","یه مسئله‌ای درباره حساب کاربری دارم","0.84101725","یه مورد از اطلاعات کاربری من اشتباه ثبت شده","0.83371466","چطور ثبت نام کنم؟"
"45","NoMatch","","چطور زبان سایت رو تغییر بدم؟","0.87584996","InDomain","aaba78db-3981-400c-8e97-12bcf9ed7a8a","چطور ایمیل حساب کاربری را تغییر بدهم؟","0.86621135","چطور رمز عبورم را تغییر بدهم؟","0.8542331","میخوام اطلاعات تماس حسابم رو تغییر بدم"
"46","NoMatch","","آدرس شعبه حضوری شما کجاست؟","0.85941494","InDomain","528778ab-e075-4ee0-bf31-fc9bc5326c7a","پسوردم یادم رفته","0.8522666","یه مورد از اطلاعات کاربری من اشتباه ثبت شده","0.8522215","برای اکانتم کمک میخوام"
"47","NoMatch","","ساعت کاری مجموعه چه زمانی است؟","0.77649426","NoMatch","9e137ce9-b2bf-41e1-945e-b9f5d5e93437","اکانتم قفل شده","0.7713427","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم","0.76998705","یه مورد مربوط به اکانتم رو میخوام اصلاح کنم"
"48","NoMatch","","چطور محصولی که خریدم رو مرجوع کنم؟","0.84783924","NoMatch","528778ab-e075-4ee0-bf31-fc9bc5326c7a","پسوردم یادم رفته","0.8455275","میخوام یکی از اطلاعات حسابم رو عوض کنم","0.8398767","برای حسابم یه اتفاقی افتاده و نمیدونم چطور حلش کنم"
"49","NoMatch","","کد تخفیف از کجا می‌تونم بگیرم؟","0.85677713","InDomain","5eeaa1f0-f478-4524-9626-06ca996af901","چطور با پشتیبانی تماس بگیرم؟","0.8537703","رمز حسابمو از کجا عوض کنم؟","0.8465776","چطور ثبت نام کنم؟"
"50","NoMatch","","برای استخدام در مجموعه باید از کجا اقدام کنم؟","0.85294324","InDomain","244bd9a6-601d-41a4-98d3-276c2ea37f65","چطور ثبت نام کنم؟","0.8452596","برای اکانتم کمک میخوام","0.84310675","چطور با پشتیبانی ارتباط بگیرم؟"
